Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-up) [TeVcm^(-2)s^(-1)]
6445.507056481 	 5.437159588e-12 	                  1.829332016e-12 	                  9.547624200e-12
6520.519737188 	 5.362501659e-12 	                  1.792865743e-12 	                  9.436623722e-12
6596.405413954 	 5.288868862e-12 	                  1.757126397e-12 	                  9.327184438e-12
6673.174246691 	 5.216247120e-12 	                  1.722099485e-12 	                  9.219426174e-12
6750.836513551 	 5.144622552e-12 	                  1.687770808e-12 	                  9.113069675e-12
6829.402612300 	 5.073981464e-12 	                  1.654126444e-12 	                  9.008223775e-12
6908.883061718 	 5.004310353e-12 	                  1.621152755e-12 	                  8.904907667e-12
6989.288502997 	 4.935595900e-12 	                  1.588813962e-12 	                  8.803041898e-12
7070.629701175 	 4.867824969e-12 	                  1.557024133e-12 	                  8.702667871e-12
7152.917546572 	 4.800984603e-12 	                  1.525867527e-12 	                  8.603456386e-12
7236.163056248 	 4.735062027e-12 	                  1.495313655e-12 	                  8.505712981e-12
7320.377375482 	 4.670044637e-12 	                  1.465371591e-12 	                  8.409294250e-12
7405.571779259 	 4.605920004e-12 	                  1.436029086e-12 	                  8.314070716e-12
7491.757673783 	 4.542675870e-12 	                  1.407274133e-12 	                  8.220285324e-12
7578.946598004 	 4.480300144e-12 	                  1.379094967e-12 	                  8.127770076e-12
7667.150225160 	 4.418780903e-12 	                  1.351480060e-12 	                  8.036356372e-12
7756.380364345 	 4.358106386e-12 	                  1.324418111e-12 	                  7.946308585e-12
7846.648962084 	 4.298264994e-12 	                  1.297898049e-12 	                  7.857523434e-12
7937.968103938 	 4.239245287e-12 	                  1.271909023e-12 	                  7.769750546e-12
8030.350016116 	 4.181035984e-12 	                  1.246440399e-12 	                  7.683066154e-12
8123.807067119 	 4.123625955e-12 	                  1.221481758e-12 	                  7.597830072e-12
8218.351769391 	 4.067004226e-12 	                  1.197022887e-12 	                  7.513539602e-12
8313.996780995 	 4.011159973e-12 	                  1.173002400e-12 	                  7.430210874e-12
8410.754907308 	 3.956082521e-12 	                  1.149418880e-12 	                  7.348250056e-12
8508.639102738 	 3.901761340e-12 	                  1.126307954e-12 	                  7.267290872e-12
8607.662472454 	 3.848186046e-12 	                  1.103661710e-12 	                  7.187279021e-12
8707.838274142 	 3.795346398e-12 	                  1.081470806e-12 	                  7.108491898e-12
8809.179919784 	 3.743232293e-12 	                  1.059726086e-12 	                  7.030768183e-12
8911.700977448 	 3.691833770e-12 	                  1.038418579e-12 	                  6.954142156e-12
9015.415173106 	 3.641141003e-12 	                  1.017539494e-12 	                  6.878589723e-12
9120.336392474 	 3.591144301e-12 	                  9.970802161e-13 	                  6.803858119e-12
9226.478682871 	 3.541834107e-12 	                  9.770323054e-13 	                  6.729964270e-12
9333.856255095 	 3.493200993e-12 	                  9.573874904e-13 	                  6.657063725e-12
9442.483485333 	 3.445235663e-12 	                  9.381376662e-13 	                  6.585248520e-12
9552.374917078 	 3.397928948e-12 	                  9.192748908e-13 	                  6.514208044e-12
9663.545263082 	 3.351271804e-12 	                  9.007913820e-13 	                  6.444045776e-12
9776.009407324 	 3.305255311e-12 	                  8.826795141e-13 	                  6.374975252e-12
9889.782407000 	 3.259870674e-12 	                  8.649214832e-13 	                  6.306691263e-12
10004.879494545 	 3.215109215e-12 	                  8.474797044e-13 	                  6.239190674e-12
10121.316079666 	 3.170962378e-12 	                  8.303751955e-13 	                  6.172665532e-12
10239.107751409 	 3.127421724e-12 	                  8.136159033e-13 	                  6.107021178e-12
10358.270280243 	 3.084478929e-12 	                  7.971948605e-13 	                  6.042074931e-12
10478.819620178 	 3.042125784e-12 	                  7.811052402e-13 	                  5.977966974e-12
10600.771910891 	 3.000354192e-12 	                  7.653403534e-13 	                  5.914850950e-12
10724.143479896 	 2.959156168e-12 	                  7.498936461e-13 	                  5.852401311e-12
10848.950844725 	 2.918523836e-12 	                  7.347586965e-13 	                  5.790661488e-12
